Designator,Footprint,Quantity,Value,LCSC Part #
"C10, C11, C12, C13, C17, C18, C19, C20, C21, C22, C23, C24, C25, C26, C27, C5, C6, C7, C8, C9",CP_Radial_D18.0mm_P7.50mm,20,120F 2.3v,
"D10, D11, D12, D13, D14, D15, D16, D17, D18, D19, D2, D20, D21, D3, D4, D5, D6, D7, D8, D9",DIO_PESD5V0S1UL_315,20,2.4v zener,C551192
"J1, J2, J4, J5",PowerPole_PP45_1336G1_1x2_Horizontal,4,Conn_01x02,
J3,AMASS_XT30PW-M_1x02_P2.50mm_Horizontal,1,XT30PW-M,C431092
J6,AMASS_XT30PW-F_1x02_P2.50mm_Horizontal,1,    XT30PW-F20.G.Y,C2913282
