
"Collated Components:"

"Item","Qty","Reference(s)","Value","LibPart","Footprint","Datasheet","Category","DK_Datasheet_Link","DK_Detail_Page","Description","Digikey","Family","Field4","Field5","Field6","Field7","Field8","MPN","Manufacturer","Part Description","Status"
"27","1","J6","Raspberry_Pi_2_3","Connector:Raspberry_Pi_2_3","Connector_PinSocket_2.54mm:PinSocket_2x20_P2.54mm_Vertical","https://www.raspberrypi.org/documentation/hardware/raspberrypi/schematics/rpi_SCH_3bplus_1p0_reduced.pdf","","","","","S6104-ND","","","","","","","PPTC202LFBN-RC","","",""
"28","1","J7","Conn_01x08","Connector_Generic:Conn_01x08","Connector_Molex:Molex_KK-254_AE-6410-08A_1x08_P2.54mm_Vertical","~","","","","","WM4117-ND","","","","","","","0022272081","","",""
"29","1","L1","L","Device:L","inductor_power:VLCF4028T-1R2N2R7-2","~","","","","","445-6544-1-ND","","","","","","","","","",""
"30","1","POT1","TC33X-2-103E","dk_Trimmer-Potentiometers:TC33X-2-103E","digikey-footprints:Trimpot_3.8mmx3.6mm_TC33X-2-103E","https://www.bourns.com/docs/Product-Datasheets/TC33.pdf","Potentiometers, Variable Resistors","https://www.bourns.com/docs/Product-Datasheets/TC33.pdf","/product-detail/en/bourns-inc/TC33X-2-103E/TC33X-103ETR-ND/612858","TRIMMER 10K OHM 0.1W J LEAD TOP","TC33X-502ECT-ND","Trimmer Potentiometers","","","","","","TC33X-2-502E","Bourns Inc.","","Active"
"31","1","Q1","Si2328DS","taylor_kicad:Q_NMOS_GSD","digikey-footprints:SOT-23-3","","","","","","DMN10H220L-7DICT-ND","","","","","","","DMN10H220L-7","","",""
"32","6","Q2, Q3, Q4, Q5, Q6, Q7","2N7002","dk_Transistors-FETs-MOSFETs-Single:2N7002","digikey-footprints:SOT-23-3","https://www.onsemi.com/pub/Collateral/NDS7002A-D.PDF","Discrete Semiconductor Products","https://www.onsemi.com/pub/Collateral/NDS7002A-D.PDF","/product-detail/en/on-semiconductor/2N7002/2N7002NCT-ND/244664","MOSFET N-CH 60V 115MA SOT-23","MMBF0201NLT1GOSCT-ND","Transistors - FETs, MOSFETs - Single","","","","","","2N7002","ON Semiconductor","","Active"
"33","4","R1, R17, R18, R2","2.2k 1%","Device:R","Resistor_SMD:R_0805_2012Metric","~","","","","","RMCF0805FT2K10CT-ND","","","","","","","RMCF0805FT2K10","","Resistor 2.2K M1005 1% 63mW",""
"34","1","R10","220R","Device:R","Resistor_SMD:R_0805_2012Metric","~","","","","","A129741CT-ND","","","","","","","","","",""
"35","3","R11, R16, R22","1k","Device:R","Resistor_SMD:R_0805_2012Metric","~","","","","","311-1.00KCRCT-ND","","","","","","","","","",""
"36","6","R12, R14, R15, R19, R23, R24","100R","Device:R","Resistor_SMD:R_0805_2012Metric","~","","","","","311-100CRCT-ND","","","","","","","","","",""
